iteration,loss,mean_poro,forward_total_sec,backward_total_sec,total_eval_sec,forward_mean_per_step_sec,backward_mean_per_step_sec,nsteps
1,23.6498279,0.209999999,0.164567,42.819307,42.983874,0.082283,21.409654,2
2,23.6498856,0.209999997,0.000471,15.298775,15.299247,0.000236,7.649388,2
3,24.0582513,0.209999997,0.000549,14.697965,14.698514,0.000274,7.348983,2
4,24.0591591,0.209999996,0.000456,14.678079,14.678535,0.000228,7.339039,2
