iteration,loss,mean_poro,forward_total_sec,backward_total_sec,total_eval_sec,forward_mean_per_step_sec,backward_mean_per_step_sec,nsteps
1,1.33500485e-20,0.21,0.170543,28.073008,28.243550,0.085271,14.036504,2
2,1.33500485e-20,0.21,0.000156,0.274773,0.274928,0.000078,0.137386,2
3,1.33500485e-20,0.21,0.000146,0.232864,0.233010,0.000073,0.116432,2
4,1.33500485e-20,0.21,0.000152,0.237239,0.237391,0.000076,0.118619,2
