iteration,step_index,forward_sec,backward_sec,total_sec
1,1,0.074922,21.409654,21.484576
1,2,0.089644,21.409654,21.499298
2,1,0.000082,7.649388,7.649469
2,2,0.000389,7.649388,7.649777
3,1,0.000085,7.348983,7.349068
3,2,0.000464,7.348983,7.349447
4,1,0.000077,7.339039,7.339116
4,2,0.000379,7.339039,7.339419
