iteration,step_index,forward_sec,backward_sec,total_sec
1,1,0.076817,3519.596851,3519.673667
1,2,0.133868,3519.596851,3519.730719
2,1,0.000096,3531.253051,3531.253147
2,2,0.033956,3531.253051,3531.287007
3,1,0.000089,3597.874466,3597.874555
3,2,0.035959,3597.874466,3597.910425
4,1,0.000096,3556.636863,3556.636960
4,2,0.033352,3556.636863,3556.670215
